SET,SETArmPosition,mean.slope,sd.slope,unique.pins,n.readings,first.Date,last.Date,estimate,statistic,p.value,parameter,conf.low,conf.high,method,alternative
7,G,0.0026318134077415382,2.689746198695091e-4,9,117,2004.7814207650274,2018.7945205479452,0.0026318134077415382,29.3538484302163,1.9653844284959894e-9,8,0.0024250612125135194,0.002838565602969557,One Sample t-test,two.sided
8,A,0.0027577621841585647,7.272550169773892e-4,9,116,2004.7814207650274,2018.7945205479452,0.0027577621841585647,11.37604603521479,3.2170766158604174e-6,8,0.0021987444919926193,0.0033167798763245097,One Sample t-test,two.sided
8,C,0.003882355416501445,8.71660226349101e-4,9,117,2004.7814207650274,2018.7945205479452,0.003882355416501445,13.36193381025013,9.412557109861071e-7,8,0.003212338054350103,0.004552372778652787,One Sample t-test,two.sided
8,E,2.242179853226249e-4,7.873125528171126e-4,9,114,2004.7814207650274,2018.7945205479452,2.242179853226249e-4,0.8543671170503077,0.4177500024422117,8,-3.809640155088453e-4,8.293999861540951e-4,One Sample t-test,two.sided
8,G,-0.0015297391435808785,0.0012514453623604874,9,108,2004.7814207650274,2018.7945205479452,-0.0015297391435808785,-3.6671336750063244,0.006335631225713832,8,-0.0024916852037759982,-5.677930833857584e-4,One Sample t-test,two.sided
9,B,0.007207581368666381,3.4560334970057995e-4,9,133,2004.8060109289618,2018.7917808219179,0.007207581368666381,62.56520408361903,4.7354691200285424e-12,8,0.006941927117483064,0.007473235619849697,One Sample t-test,two.sided
9,D,0.00706347247999807,1.77004078219297e-4,9,134,2004.8060109289618,2018.7917808219179,0.00706347247999807,119.71711416581377,2.6490835019416622e-14,8,0.00692741510122417,0.00719952985877197,One Sample t-test,two.sided
9,F,0.009561878219779519,8.220131168567037e-4,9,135,2004.8060109289618,2018.7917808219179,0.009561878219779519,34.89680890863344,4.973870849732777e-10,8,0.008930023004224977,0.01019373343533406,One Sample t-test,two.sided
9,H,0.008262714747139407,6.461326661657473e-4,9,134,2004.8060109289618,2018.7917808219179,0.008262714747139407,38.363861695021484,2.3407973517969397e-10,8,0.00776605321378317,0.008759376280495642,One Sample t-test,two.sided
10,A,0.013189386773890425,0.0012884128663327996,9,143,2004.8060109289618,2018.7917808219179,0.013189386773890425,30.71077707745488,1.3730457170942077e-9,8,0.012199024974685863,0.014179748573094989,One Sample t-test,two.sided
10,C,0.008727345830939365,2.2002705107689616e-4,9,144,2004.8060109289618,2018.7917808219179,0.008727345830939365,118.99462981789391,2.780456093456912e-14,8,0.008558218067726,0.008896473594152732,One Sample t-test,two.sided
10,E,0.006553769563937168,5.483381327183479e-4,9,144,2004.8060109289618,2018.7917808219179,0.006553769563937168,35.856176177903116,4.0087346742783006e-10,8,0.006132279563424287,0.006975259564450049,One Sample t-test,two.sided
10,G,0.008237250123614336,4.2693538702475396e-4,9,144,2004.8060109289618,2018.7917808219179,0.008237250123614336,57.881710258442936,8.813699694788902e-12,8,0.007909078534299644,0.008565421712929027,One Sample t-test,two.sided
11,B,-2.6093409407602507e-4,4.3732166018874385e-4,9,89,2006.682191780822,2019.7753424657535,-2.6093409407602507e-4,-1.7899920207250315,0.11124088059095047,8,-5.970892796792232e-4,7.522109152717312e-5,One Sample t-test,two.sided
