SampTime,Treatment,Plot,initial.year,Date,n,elev.mean,elev.sd,elev.se,elev.d.mean,elev.d.sd,elev.d.se
SU2020,Nat,15,2007,2020-07-16,11,0.27714545454545453,0.24542724528314439,0.07399909872133746,0.026603426363636346,0.08279555158878794,0.024963798084593047
SU2020,Nat,20,2007,2020-07-14,5,0.25242,0.14143039630857293,0.06324959604614087,-0.034098374000000015,0.06825868859993377,0.030526213552888367
SU2020,Sill,-1,2007,2020-07-18,9,0.03365555555555558,0.16006082524396084,0.053353608414653614,0.14577424333333336,0.0762854999215752,0.0254284999738584
SU2020,Sill,0,2007,2020-07-17,13,-0.04976923076923077,0.16386036425676276,0.04544668810338191,0.10512977692307693,0.06870090305275499,0.019054202202106817
SU2020,Sill,5,2007,2020-07-17,14,0.1743214285714286,0.19158926490952313,0.051204384876807625,0.07955324214285717,0.08541877213531587,0.02282912712351891
SU2020,Sill,10,2007,2020-07-16,12,0.36695,0.3011324338680122,0.08692944587771201,0.03852799833333336,0.2045346624246717,0.05904407120474672
SU2020,Sill,15,2007,2020-07-17,9,0.5454333333333333,0.3003290112526594,0.10010967041755313,0.04373451222222225,0.07331130520449405,0.02443710173483135
SU2020,Sill,20,2007,2020-07-16,4,0.8029999999999999,0.3598397791610408,0.1799198895805204,0.02693143,0.09724042989243281,0.048620214946216406
WI2007,Nat,-1,2007,2007-03-02,10,-0.385085717,0.0833389250522542,0.02635408209151903,0,0,0
WI2007,Nat,0,2007,2007-03-02,10,-0.323905854,0.08164018284727771,0.0258168926390008,0,0,0
WI2007,Nat,5,2007,2007-03-03,14,0.027741559285714302,0.15978347778331678,0.042703930709455516,0,0,0
WI2007,Nat,10,2007,2007-03-03,14,0.12953093357142859,0.1702875958942111,0.04551127436096792,0,0,0
WI2007,Nat,15,2007,2007-03-02,11,0.2505420281818182,0.24087971587910995,0.07262796701622012,0,0,0
WI2007,Nat,20,2007,2007-02-28,5,0.286518374,0.18197920009216087,0.08138357237942154,0,0,0
WI2007,Sill,-1,2007,2007-03-04,10,-0.073843384,0.1554813023775378,0.04916750490823724,0,0,0
WI2007,Sill,0,2007,2007-03-03,13,-0.1548990076923077,0.13111679870158216,0.03636525698409575,0,0,0
WI2007,Sill,5,2007,2007-03-03,14,0.09476818642857143,0.19216778292601083,0.051359000320362835,0,0,0
WI2007,Sill,10,2007,2007-03-02,12,0.3284220016666667,0.25948193822568116,0.07490598344222144,0,0,0
WI2007,Sill,15,2007,2007-03-03,9,0.5016988211111111,0.26759732662286284,0.08919910887428761,0,0,0
WI2007,Sill,20,2007,2007-03-02,4,0.77606857,0.35233285879359183,0.17616642939679591,0,0,0
SP2010,Nat,-1,2008,2010-05-05,1,-0.38213424999999995,NA,NA,0.04467789,NA,NA
SP2010,Nat,0,2008,2010-05-05,1,-0.17375888999999997,NA,NA,0.07327797999999999,NA,NA
SP2010,Nat,15,2008,2010-05-05,1,0.25442522,NA,NA,0.004804839999999977,NA,NA
SU2008,Nat,-1,2008,2008-06-27,1,-0.42681213999999995,NA,NA,0,NA,NA
SU2008,Nat,0,2008,2008-06-27,1,-0.24703686999999996,NA,NA,0,NA,NA
SU2008,Nat,15,2008,2008-06-27,1,0.24962038000000003,NA,NA,0,NA,NA
SU2008,Sill,15,2008,2008-06-19,1,0.62598693,NA,NA,0,NA,NA
SU2018,Nat,-1,2008,2018-07-19,1,-0.40890000000000004,NA,NA,0.01791213999999991,NA,NA
SU2018,Nat,0,2008,2018-07-19,1,-0.33440000000000003,NA,NA,-0.08736313000000007,NA,NA
SU2018,Nat,15,2008,2018-07-09,1,0.3,NA,NA,0.05037961999999996,NA,NA
SU2018,Sill,15,2008,2018-07-30,1,0.53775,NA,NA,-0.0882369300000001,NA,NA
SU2019,Sill,15,2008,2019-07-31,1,0.556948,NA,NA,-0.06903893000000005,NA,NA
SU2020,Nat,-1,2008,2020-07-21,1,-0.42,NA,NA,0.0068121399999999666,NA,NA
SU2020,Nat,0,2008,2020-07-21,1,-0.413,NA,NA,-0.16596313000000001,NA,NA
SU2020,Nat,15,2008,2020-07-21,1,0.22,NA,NA,-0.02962038000000003,NA,NA
SU2020,Sill,15,2008,2020-07-14,1,0.5891000000000001,NA,NA,-0.036886929999999984,NA,NA
SP2010,Nat,-1,2010,2010-04-23,1,-0.33255199,NA,NA,0,NA,NA
SP2010,Nat,0,2010,2010-04-23,1,-0.34827435,NA,NA,0,NA,NA
SP2010,Sill,-1,2010,2010-04-22,4,-0.3783582425,0.006853538218605889,0.0034267691093029444,0,0,0
SP2010,Sill,0,2010,2010-04-22,1,0.18015873,NA,NA,0,NA,NA
SU2018,Sill,-1,2010,2018-07-20,4,-0.263025,0.07694155249278505,0.03847077624639252,0.11533324249999999,0.08373995246165687,0.041869976230828436
SU2018,Sill,0,2010,2018-07-20,1,0.1868,NA,NA,0.006641270000000005,NA,NA
SU2019,Nat,-1,2010,2019-07-29,1,-0.3496390000000001,NA,NA,-0.01708701000000007,NA,NA
SU2019,Nat,0,2010,2019-07-29,1,-0.33885000000000015,NA,NA,0.00942434999999986,NA,NA
SU2019,Sill,-1,2010,2019-07-29,4,-0.25150475,0.056687477331858645,0.028343738665929322,0.1268534925,0.06347221880068642,0.03173610940034321
SU2019,Sill,0,2010,2019-07-29,1,0.12948699999999985,NA,NA,-0.05067173000000014,NA,NA
SU2020,Nat,-1,2010,2020-07-15,1,-0.335,NA,NA,-0.0024480100000000005,NA,NA
SU2020,Nat,0,2010,2020-07-15,1,-0.325,NA,NA,0.02327435,NA,NA
SU2020,Sill,-1,2010,2020-07-15,4,-0.24824999999999997,0.05784678037713076,0.02892339018856538,0.13010824250000003,0.06428030964284909,0.032140154821424544
SU2020,Sill,0,2010,2020-07-15,1,0.173,NA,NA,-0.007158730000000002,NA,NA
SU2018,Nat,-1,2018,2018-07-22,11,-0.37408309090909087,0.10909190188868698,0.03289244602100348,0,0,0
SU2018,Nat,0,2018,2018-07-22,11,-0.32389518181818183,0.10695461452019563,0.03224802963278058,0,0,0
SU2018,Nat,5,2018,2018-07-24,9,-0.0037674444444444465,0.15644722855336166,0.052149076184453885,0,0,0
SU2018,Nat,10,2018,2018-07-24,9,0.13389822222222225,0.20145627577142997,0.06715209192380998,0,0,0
SU2018,Nat,15,2018,2018-07-24,9,0.3062875555555556,0.26646753603211737,0.08882251201070579,0,0,0
SU2018,Nat,20,2018,2018-07-24,9,0.3689888888888889,0.2117857491212785,0.07059524970709284,0,0,0
SU2018,Sill,-1,2018,2018-07-20,1,0.3342,NA,NA,0,NA,NA
SU2018,Sill,10,2018,2018-07-19,1,0.1719,NA,NA,0,NA,NA
SU2018,Sill,15,2018,2018-07-19,1,0.2475,NA,NA,0,NA,NA
SU2018,Sill,20,2018,2018-07-19,2,0.2628,NA,NA,0,NA,NA
SU2019,Nat,-1,2018,2019-07-31,4,-0.5053700000000001,0.04635772938788086,0.02317886469394043,-0.025166500000000064,0.013862363855658491,0.0069311819278292455
SU2019,Nat,0,2018,2019-07-31,4,-0.4472387500000001,0.062035613069564066,0.031017806534782033,-0.05297700000000001,0.015784418540657895,0.007892209270328947
SU2019,Nat,5,2018,2019-07-31,4,0.08450275000000002,0.08559135525809052,0.04279567762904526,0.003979500000000025,0.11230939332783642,0.05615469666391821
SU2019,Nat,10,2018,2019-07-31,4,0.05520525000000004,0.2326090256938668,0.1163045128469334,-0.019790750000000024,0.03655391976587465,0.018276959882937326
SU2019,Nat,15,2018,2019-07-31,4,0.037517750000000016,0.05701989301039297,0.028509946505196487,-0.04767925000000006,0.03175595042796443,0.015877975213982216
SU2019,Nat,20,2018,2019-07-31,4,0.19496400000000003,0.07886578131230297,0.039432890656151486,-0.010185999999999973,0.009128154285871048,0.004564077142935524
SU2019,Sill,-1,2018,2019-07-29,1,0.05944900000000003,NA,NA,-0.27475099999999997,NA,NA
SU2020,Nat,-1,2018,2020-07-21,2,-0.2315,0.14919953083036155,0.10550000000000001,0.03240000000000001,0.05176021638285527,0.036599999999999994
SU2020,Nat,0,2018,2020-07-21,2,-0.17600000000000002,0.22061731573020282,0.156,0.026050000000000004,0.06498311319104369,0.04594999999999998
SU2020,Nat,15,2018,2020-07-21,1,0.428,NA,NA,0.007000000000000006,NA,NA
SU2020,Nat,20,2018,2020-07-21,3,0.394,0.05715767664977297,0.033000000000000015,0.0024333333333333242,0.00877515431963068,0.005066337708619281
SU2020,Sill,-1,2018,2020-07-15,1,0.141,NA,NA,-0.1932,NA,NA
SU2020,Sill,10,2018,2020-07-21,1,0.17800000000000002,NA,NA,0.006100000000000022,NA,NA
SU2020,Sill,15,2018,2020-07-21,1,0.24900000000000003,NA,NA,0.001500000000000029,NA,NA
SU2020,Sill,20,2018,2020-07-21,2,0.263,NA,NA,2.0000000000003348e-4,NA,NA
SU2019,Nat,20,2019,2019-07-29,1,0.763368,NA,NA,0,NA,NA
SU2020,Nat,20,2019,2020-07-15,1,0.831,NA,NA,0.06763199999999991,NA,NA
